date,val
11-03-2020,743.842
11-03-2020,7
11-03-2020,35.306
11-03-2020,20.567
11-03-2020,21.062
11-03-2020,422.333
11-03-2020,310.625
11-03-2020,655.021
11-03-2020,17.617
11-03-2020,13.798
11-03-2020,92.909
12-03-2020,9.935
12-03-2020,33.727
12-03-2020,712.833
12-03-2020,9.297
12-03-2020,30
12-03-2020,21.733
12-03-2020,6.737
12-03-2020,32.5
12-03-2020,17.365
12-03-2020,14.079
12-03-2020,43.909
12-03-2020,13.881
12-03-2020,45.97
12-03-2020,5.724
12-03-2020,35.325
12-03-2020,11.358
12-03-2020,33.444
12-03-2020,56
12-03-2020,42
12-03-2020,15.838
12-03-2020,31.5
12-03-2020,14
12-03-2020,241.5
12-03-2020,21.614
12-03-2020,41.481
12-03-2020,1644.667
12-03-2020,392.955
12-03-2020,28
12-03-2020,38.046
12-03-2020,56
12-03-2020,17.804
12-03-2020,23.226
12-03-2020,486.5
12-03-2020,232.826
12-03-2020,646.681
12-03-2020,20.114
12-03-2020,15.317
12-03-2020,105
13-03-2020,8.072
13-03-2020,35.764
13-03-2020,336
13-03-2020,9.097
13-03-2020,16.8
13-03-2020,25.038
13-03-2020,6.082
13-03-2020,27.045
13-03-2020,8.42
13-03-2020,15.802
13-03-2020,42
13-03-2020,13.659
13-03-2020,44.304
13-03-2020,5.431
13-03-2020,32.745
13-03-2020,14.064
13-03-2020,26.6
13-03-2020,56
13-03-2020,17.08
13-03-2020,18.796
13-03-2020,23.932
13-03-2020,12.25
13-03-2020,539
13-03-2020,24.389
13-03-2020,42.438
13-03-2020,53.768
13-03-2020,1506.346
13-03-2020,353.684
13-03-2020,17.5
13-03-2020,45.062
13-03-2020,38.919
13-03-2020,38.5
13-03-2020,13.711
13-03-2020,22.579
13-03-2020,595
13-03-2020,259.913
13-03-2020,536.375
13-03-2020,22.934
13-03-2020,19.502
13-03-2020,99.25
14-03-2020,7.342
14-03-2020,27.045
14-03-2020,386.867
14-03-2020,8.733
14-03-2020,16.45
14-03-2020,25.916
14-03-2020,5.718
14-03-2020,10.551
14-03-2020,10.841
14-03-2020,14.579
14-03-2020,33
14-03-2020,18.73
14-03-2020,38.897
14-03-2020,5.153
14-03-2020,32.489
14-03-2020,14.872
14-03-2020,38.889
14-03-2020,36.4
14-03-2020,14.8
14-03-2020,21.86
14-03-2020,131
14-03-2020,14.207
14-03-2020,14
14-03-2020,623
14-03-2020,30.508
14-03-2020,54.111
14-03-2020,49.354
14-03-2020,1283.6
14-03-2020,261.247
14-03-2020,2.333
14-03-2020,4.375
14-03-2020,24.138
14-03-2020,33.783
14-03-2020,47.1
14-03-2020,30.8
14-03-2020,12.168
14-03-2020,23.947
14-03-2020,380.625
14-03-2020,207.375
14-03-2020,546.125
14-03-2020,23.692
14-03-2020,18.621
14-03-2020,86.917
15-03-2020,6.585
15-03-2020,28.615
15-03-2020,437.733
15-03-2020,8.285
15-03-2020,16.8
15-03-2020,22.787
15-03-2020,6.226
15-03-2020,11.533
15-03-2020,12.607
15-03-2020,43.235
15-03-2020,15.642
15-03-2020,36.458
15-03-2020,28.494
15-03-2020,29.647
15-03-2020,4.908
15-03-2020,32.308
15-03-2020,14.926
15-03-2020,42
15-03-2020,31.5
15-03-2020,15
15-03-2020,20.71
15-03-2020,54.765
15-03-2020,11.147
15-03-2020,5.688
15-03-2020,228.667
15-03-2020,23.625
15-03-2020,14
15-03-2020,44.286
15-03-2020,38.878
15-03-2020,954
15-03-2020,279.468
15-03-2020,2.059
15-03-2020,4.2
15-03-2020,22.366
15-03-2020,51.545
15-03-2020,59.732
15-03-2020,21.7
15-03-2020,11.568
15-03-2020,21.569
15-03-2020,218
15-03-2020,255.719
15-03-2020,822.415
15-03-2020,22.034
15-03-2020,17.055
15-03-2020,159.688
16-03-2020,4.959
16-03-2020,31.837
16-03-2020,349.333
16-03-2020,8.314
16-03-2020,14.972
16-03-2020,20.079
16-03-2020,6.448
16-03-2020,9.13
16-03-2020,13.321
16-03-2020,40.41
16-03-2020,10.364
16-03-2020,32.968
16-03-2020,32.78
16-03-2020,25.412
16-03-2020,5.067
16-03-2020,31.629
16-03-2020,14.666
16-03-2020,47
16-03-2020,24.769
16-03-2020,12.153
16-03-2020,10.66
16-03-2020,61.688
16-03-2020,10.079
16-03-2020,4.846
16-03-2020,336
16-03-2020,25.04
16-03-2020,15
16-03-2020,46.605
16-03-2020,33.763
16-03-2020,927.698
16-03-2020,218.963
16-03-2020,1.909
16-03-2020,4.019
16-03-2020,18
16-03-2020,40.833
16-03-2020,73.672
16-03-2020,17.111
16-03-2020,11.277
16-03-2020,14.596
16-03-2020,236.5
16-03-2020,149.516
16-03-2020,670.019
16-03-2020,24.457
16-03-2020,19.707
16-03-2020,262.63
17-03-2020,5.932
17-03-2020,46.438
17-03-2020,108.5
17-03-2020,248.967
17-03-2020,7.712
17-03-2020,16.864
17-03-2020,21.276
17-03-2020,6.761
17-03-2020,8.221
17-03-2020,17.953
17-03-2020,39.123
17-03-2020,12.459
17-03-2020,25.78
17-03-2020,39.284
17-03-2020,29.362
17-03-2020,4.673
17-03-2020,32.652
17-03-2020,17.906
17-03-2020,58.333
17-03-2020,26.25
17-03-2020,18.882
17-03-2020,8.509
17-03-2020,40.185
17-03-2020,9.325
17-03-2020,4.6
17-03-2020,613.667
17-03-2020,28.287
17-03-2020,16.265
17-03-2020,16.625
17-03-2020,39.2
17-03-2020,31.692
17-03-2020,629.578
17-03-2020,203.237
17-03-2020,3.652
17-03-2020,4.625
17-03-2020,15.329
17-03-2020,43.018
17-03-2020,74.25
17-03-2020,16
17-03-2020,11.21
17-03-2020,18.865
17-03-2020,175
17-03-2020,95.409
17-03-2020,21
17-03-2020,952.718
17-03-2020,29.22
17-03-2020,21.185
17-03-2020,336
18-03-2020,5.752
18-03-2020,51.921
18-03-2020,47.6
18-03-2020,281.815
18-03-2020,7.264
18-03-2020,89.338
18-03-2020,13.5
18-03-2020,20.925
18-03-2020,7.737
18-03-2020,9.774
18-03-2020,18.014
18-03-2020,37.925
18-03-2020,13.458
18-03-2020,31.5
18-03-2020,39.232
18-03-2020,22.961
18-03-2020,4.326
18-03-2020,38.057
18-03-2020,20.41
18-03-2020,46.358
18-03-2020,27.364
18-03-2020,17.158
18-03-2020,7.875
18-03-2020,37.121
18-03-2020,8.423
18-03-2020,5.5
18-03-2020,184.333
18-03-2020,31.402
